CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0112,0.869,C0120,0.818,C0192,0.763
C0002,C0106,0.913,C0159,0.906,C0134,0.89
C0003,C0129,0.858,C0195,0.809,C0031,0.769
C0004,C0113,0.956,C0104,0.892,C0102,0.84
C0005,C0007,0.964,C0140,0.874,C0186,0.779
C0006,C0187,0.807,C0171,0.762,C0011,0.655
C0007,C0005,0.964,C0140,0.891,C0186,0.703
C0008,C0194,0.847,C0098,0.846,C0024,0.828
C0009,C0198,0.891,C0058,0.751,C0061,0.739
C0010,C0062,0.848,C0061,0.802,C0132,0.686
C0011,C0153,0.889,C0171,0.864,C0174,0.851
C0012,C0039,0.824,C0163,0.761,C0195,0.742
C0013,C0087,0.814,C0099,0.799,C0102,0.756
C0014,C0060,0.896,C0097,0.791,C0128,0.765
C0015,C0131,0.84,C0036,0.782,C0189,0.708
C0016,C0183,0.964,C0067,0.864,C0072,0.806
C0017,C0075,0.918,C0041,0.843,C0057,0.832
C0018,C0117,0.816,C0046,0.715,C0026,0.679
C0019,C0121,0.856,C0070,0.683,C0063,0.671
C0020,C0050,0.873,C0035,0.77,C0026,0.77
